filename,image1,image2,vgg16_cosine_similarity
googleinterns_typescript-flag-upgrade,googleinterns_typescript-flag-upgrade.png,googleinterns_typescript-flag-upgrade.png,0.059621274
gpsnmeajp_VirtualMotionTracker,gpsnmeajp_VirtualMotionTracker.png,gpsnmeajp_VirtualMotionTracker.png,0.29195774
gray-panda_grayrepo,gray-panda_grayrepo.jpg,gray-panda_grayrepo.png,0.20850408
greatfarmer_fifarm,greatfarmer_fifarm.png,greatfarmer_fifarm.png,0.32851207
gregoryjohnsonjg6_angular-dotnet-core-docker,gregoryjohnsonjg6_angular-dotnet-core-docker.png,gregoryjohnsonjg6_angular-dotnet-core-docker.png,0.31843728
gustavung_Graphrec,gustavung_Graphrec.png,gustavung_Graphrec.png,0.3727343
hamzatugrul_surl,hamzatugrul_surl.PNG,hamzatugrul_surl.png,0.4883057
heli-os_member-invitation-java-springboot,heli-os_member-invitation-java-springboot.png,heli-os_member-invitation-java-springboot.png,0.43652523
hex-js_nodejs-hexagonal-boilerplate-ts,hex-js_nodejs-hexagonal-boilerplate-ts.png,hex-js_nodejs-hexagonal-boilerplate-ts.png,0.24458045
hotshot07_distributed_systems,hotshot07_distributed_systems.png,hotshot07_distributed_systems.png,0.2782811
hrchlhck_k8s-bigdata,hrchlhck_k8s-bigdata.png,hrchlhck_k8s-bigdata.png,0.23189592
hyeonsangjeon_AWS-LLM-SageMaker,hyeonsangjeon_AWS-LLM-SageMaker.png,hyeonsangjeon_AWS-LLM-SageMaker.png,0.37223226
hyeonsangjeon_youtube-dl-nas,hyeonsangjeon_youtube-dl-nas.png,hyeonsangjeon_youtube-dl-nas.png,0.42228866
hyper-prog_hasses,hyper-prog_hasses.png,hyper-prog_hasses.png,0.60207903
hypertrack_live-app-android,hypertrack_live-app-android.png,hypertrack_live-app-android.png,0.2656077
i5ting_stuq-koa,i5ting_stuq-koa.png,i5ting_stuq-koa.png,0.22482413
ibm-hyperknowledge_hklib,ibm-hyperknowledge_hklib.jpg,ibm-hyperknowledge_hklib.png,0.2606107
iceland2k14_Kangrand,iceland2k14_Kangrand.jpg,iceland2k14_Kangrand.png,0.18127853
icoxfog417_karura,icoxfog417_karura.PNG,icoxfog417_karura.png,0.34491432
imamabdulazis_FlutterCleanArchitecture,imamabdulazis_FlutterCleanArchitecture.png,imamabdulazis_FlutterCleanArchitecture.png,0.21963549
inIT-HF_gr-corrsounder,inIT-HF_gr-corrsounder.png,inIT-HF_gr-corrsounder.png,0.19222248
inovex_scrumlr.io,inovex_scrumlr.io.png,inovex_scrumlr.io.png,0.25658274
input-output-hk_marlowe-starter-kit,input-output-hk_marlowe-starter-kit.png,input-output-hk_marlowe-starter-kit.png,0.4385835
itays123_partydeck,itays123_partydeck.png,itays123_partydeck.png,0.20266211
itselavia_edge-computing-platform-for-deep-learning-apps,itselavia_edge-computing-platform-for-deep-learning-apps.png,itselavia_edge-computing-platform-for-deep-learning-apps.png,0.41714746
jes_autopatzer,jes_autopatzer.png,jes_autopatzer.png,0.5432775
jinnerbichler_flash-home,jinnerbichler_flash-home.png,jinnerbichler_flash-home.png,0.1527847
jkahn117_aws-news,jkahn117_aws-news.png,jkahn117_aws-news.png,0.4395402
jlhood_retweet-leaderboard,jlhood_retweet-leaderboard.png,jlhood_retweet-leaderboard.png,0.2887491
jquku_Matrix-Chatbot,jquku_Matrix-Chatbot.png,jquku_Matrix-Chatbot.png,0.22250348
jsarcher_zilgraph,jsarcher_zilgraph.png,jsarcher_zilgraph.png,0.45720416
jun108059_Elasticsearch-SpringBoot,jun108059_Elasticsearch-SpringBoot.png,jun108059_Elasticsearch-SpringBoot.png,0.24620587
jzyong_GameServer4g,jzyong_GameServer4g.png,jzyong_GameServer4g.png,0.39486885
kaleidot725_Draft,kaleidot725_Draft.png,kaleidot725_Draft.png,0.29437864
kerollesroshdi_Cima-,kerollesroshdi_Cima-.png,kerollesroshdi_Cima-.png,0.28200936
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking.png,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking.png,0.39100707
kpantos_Azure-How-To,kpantos_Azure-How-To.png,kpantos_Azure-How-To.png,0.18884683
krishnaprasadkv_Linux-Commands,krishnaprasadkv_Linux-Commands.jpg,krishnaprasadkv_Linux-Commands.png,0.28205
kryptokrauts_ae-prediction-cards,kryptokrauts_ae-prediction-cards.png,kryptokrauts_ae-prediction-cards.png,0.34267688
kubescape_host-scanner,kubescape_host-scanner.png,kubescape_host-scanner.png,0.18977845
kzh_noob,kzh_noob.png,kzh_noob.png,0.17490983
laziestcoder_Budget_App_JS,laziestcoder_Budget_App_JS.png,laziestcoder_Budget_App_JS.png,0.43292862
leekoko_Java-Web,leekoko_Java-Web.png,leekoko_Java-Web.png,0.33629608
leopardslab_gocloud,leopardslab_gocloud.jpg,leopardslab_gocloud.png,0.14474416
libremfg_getting-started,libremfg_getting-started.png,libremfg_getting-started.png,0.32594562
linhao1998_ChatGPTClient,linhao1998_ChatGPTClient.png,linhao1998_ChatGPTClient.png,0.15329486
little-hands_webdbpress-2019-10-ddd,little-hands_webdbpress-2019-10-ddd.png,little-hands_webdbpress-2019-10-ddd.png,0.37566006
liyangbing_rocketmq-http-gateway,liyangbing_rocketmq-http-gateway.jpg,liyangbing_rocketmq-http-gateway.png,0.36500728
lkmSasanga_fas-web-app,lkmSasanga_fas-web-app.png,lkmSasanga_fas-web-app.png,0.28182954
lkravi_kube8aws,lkravi_kube8aws.png,lkravi_kube8aws.png,0.30772412
llvm_torch-mlir,llvm_torch-mlir.png,llvm_torch-mlir.png,0.37859523
lowes_auditor,lowes_auditor.png,lowes_auditor.png,0.31340432
lowtalkers_escape-reality,lowtalkers_escape-reality.png,lowtalkers_escape-reality.png,0.25204813
lubkoKuzenko_FE-Interview-Questions,lubkoKuzenko_FE-Interview-Questions.png,lubkoKuzenko_FE-Interview-Questions.png,0.2306177
lvyahui8_http-proxy,lvyahui8_http-proxy.jpg,lvyahui8_http-proxy.png,0.35254115
madderle_Capstone-Realtime-Streaming-Analytics,madderle_Capstone-Realtime-Streaming-Analytics.png,madderle_Capstone-Realtime-Streaming-Analytics.png,0.2791549
marekq_rss-lambda,marekq_rss-lambda.png,marekq_rss-lambda.png,0.25763977
marklogic_cloud-enablement-aws,marklogic_cloud-enablement-aws.png,marklogic_cloud-enablement-aws.png,0.27712166
marmarek_qubes-app-u2f,marmarek_qubes-app-u2f.png,marmarek_qubes-app-u2f.png,0.2284599
mateuseap_apache-airflow,mateuseap_apache-airflow.png,mateuseap_apache-airflow.png,0.13697779
matrix-io_matrix-malos-zwave,matrix-io_matrix-malos-zwave.png,matrix-io_matrix-malos-zwave.png,0.32831573
matryx_MatryxPlatform,matryx_MatryxPlatform.png,matryx_MatryxPlatform.png,0.16970742
mbotarro_unijobs,mbotarro_unijobs.png,mbotarro_unijobs.png,0.3138597
mcuking_offline-package-webpack-plugin,mcuking_offline-package-webpack-plugin.png,mcuking_offline-package-webpack-plugin.png,0.3712144
